country,chain,item,size_label,grams,ml,calories,protein_g,carbs_g,fat_g,fiber_g,sugar_g,source_url
UK,Burger King,Spicy Nuggets - 10 Piece,1 item,,,526,20.1,28.2,37.0,4.3,0.7,https://www.burgerking.co.uk/menu
UK,Burger King,Spicy Nuggets - 20 Pieces,1 item,,,1052,40.1,56.5,74.0,8.6,1.5,https://www.burgerking.co.uk/menu
UK,Burger King,Spicy Crispy Chicken Sandwich,1 item,,,699,25.3,56.9,41.6,2.8,7.8,https://www.burgerking.co.uk/menu
UK,Burger King,Double Burger Bacon,1 item,,,394,24.1,29.6,20.3,1.2,6.8,https://www.burgerking.co.uk/menu
UK,Burger King,Portion 1 Pc Spicy Chicken Nuggets,1 item,,,59,2.2,3.2,4.2,0.5,0.1,https://www.burgerking.co.uk/menu
UK,Burger King,Spicy Crispy Chicken Patty,1 item,,,279,18.7,18.1,14.7,1.2,0.3,https://www.burgerking.co.uk/menu
UK,Burger King,Single Quarter Pound King - National,1 item,,,580,31.9,48.9,29.1,1.9,10.2,https://www.burgerking.co.uk/menu
UK,Burger King,Bacon King Double,1 item,357.6,,1043,65.5,49.3,64.0,4.5,12.0,https://www.burgerking.co.uk/menu
UK,Burger King,Condiment - Green Pepper Sauce,1 item,,,119,0.2,1.0,12.9,0.1,0.7,https://www.burgerking.co.uk/menu
UK,Burger King,Condiment - Green Chili Ailoi,1 item,,,159,0.3,1.3,17.2,0.1,1.0,https://www.burgerking.co.uk/menu
UK,Burger King,Chicken Tenders - 4 pc,1 item,,,706,33.9,60.0,37.0,3.7,15.9,https://www.burgerking.co.uk/menu
UK,Burger King,Frosted Orange Fanta,1 item,,,67,1.4,11.3,1.7,0.0,9.2,https://www.burgerking.co.uk/menu
UK,Burger King,Condiment Tavern Sauce,1 item,,,85,0.2,1.1,8.9,0.0,0.6,https://www.burgerking.co.uk/menu
UK,Burger King,Spicy Crispy Chicken Sandwich w/ Bacon,1 item,,,747,30.3,54.8,46.4,2.7,7.4,https://www.burgerking.co.uk/menu
UK,Burger King,Spicy Crispy Chicken Sandwich w/ Cheese,1 item,,,767,30.1,55.9,48.2,2.7,7.9,https://www.burgerking.co.uk/menu
UK,Burger King,Spicy Crispy Chicken Sandwich w/ Bacon & Cheese,1 item,,,828,34.3,56.0,53.1,2.7,8.1,https://www.burgerking.co.uk/menu
UK,Burger King,Chicken Tenders - 2 pc,1 item,,,353,17.0,30.0,18.5,1.8,8.0,https://www.burgerking.co.uk/menu
UK,Burger King,Chicken Tenders - 3 pc,1 item,,,485,25.3,41.0,24.6,2.7,8.1,https://www.burgerking.co.uk/menu
UK,Burger King,Bacon Cheesy Tots,1 item,,,329,9.7,40.9,14.1,2.4,1.7,https://www.burgerking.co.uk/menu
UK,Burger King,Texas BBQ  King (Premium),1 item,409,,1216,65.8,69.1,73.8,6.5,16.0,https://www.burgerking.co.uk/menu
UK,Burger King,Texas BBQ Crispy Chicken,1 item,257.8,,730,30.7,61.8,39.9,4.7,9.2,https://www.burgerking.co.uk/menu
UK,Burger King,Crispy Chicken,1 item,185,,279,5.6,33.5,13.2,2.3,4.7,https://www.burgerking.co.uk/menu
UK,Burger King,Crown Campaign - $1 Donation - Select Locations - USA,1 item,,,0,0,0,0,0,0,https://www.burgerking.co.uk/menu
UK,Burger King,Crown Campaign - $3 Donation - Select Locations - USA,1 item,,,0,0,0,0,0,0,https://www.burgerking.co.uk/menu
UK,Burger King,Crown Campaign - $5 Donation - Select Locations - USA,1 item,,,0,0,0,0,0,0,https://www.burgerking.co.uk/menu
UK,Burger King,1 Pc Chicken Tenders - National - USA,1 item,,,221,8.6,19.0,12.4,1.0,7.8,https://www.burgerking.co.uk/menu
UK,Burger King,Breakfast King,1 item,202,,626,42.7,39.7,32.4,3.0,10.9,https://www.burgerking.co.uk/menu
UK,Burger King,Ultimate Breakfast sandwich,1 item,222.3,,491,31.3,39.4,22.7,2.6,10.3,https://www.burgerking.co.uk/menu
UK,Burger King,Crispy Chicken Bacon King,1 item,231.8,,711,32.1,51.2,41.5,2.8,6.7,https://www.burgerking.co.uk/menu
UK,Burger King,BBQ Chicken Tenders 4 Pc,1 item,,,626,33.9,68.1,24.5,4.1,22.0,https://www.burgerking.co.uk/menu
UK,Burger King,Sausage Butty,1 item,138.1,,329,16.3,37.6,12.1,2.2,9.7,https://www.burgerking.co.uk/menu
UK,Burger King,Bacon and Egg Sandwich,1 item,117,,362,21.0,38.7,13.2,2.4,10.2,https://www.burgerking.co.uk/menu
UK,Burger King,Sausage and Egg sandwich,1 item,147.2,,200,6.0,37.0,2.7,1.9,9.5,https://www.burgerking.co.uk/menu
UK,Burger King,Funnel Cake Fries 9Pc,1 item,,,222,1.6,29.4,10.9,0.5,11.8,https://www.burgerking.co.uk/menu
UK,Burger King,Stacker King - Double,1 item,,,1048,61.0,49.5,68.1,1.4,10.9,https://www.burgerking.co.uk/menu
UK,Burger King,Stacker King - Single,1 item,,,703,35.2,48,41.8,1.4,10.3,https://www.burgerking.co.uk/menu
UK,Burger King,Stacker King - Triple,1 item,,,1369,84.9,50.8,92.5,1.4,11.4,https://www.burgerking.co.uk/menu
UK,Burger King,BBQ Chicken Tenders 3 Pc,1 item,,,445,25.3,45.0,18.3,2.9,11.2,https://www.burgerking.co.uk/menu
UK,Burger King,BBQ Chicken Tenders 2 Pc,1 item,,,362,17.3,46.1,12.3,2.4,21.8,https://www.burgerking.co.uk/menu
UK,Burger King,BIG KING,Xl,,,1006,57.1,55.6,63.3,2.3,14.1,https://www.burgerking.co.uk/menu
UK,Burger King,Latte,1 item,,,160,10.6,20.3,6,8.5,10.4,https://www.burgerking.co.uk/menu
UK,Burger King,Cappuccino,1 item,,,149,9.7,19.2,5.6,8.5,9.3,https://www.burgerking.co.uk/menu
UK,Burger King,Flat White,1 item,,,162,10.5,21,6.1,9.5,9.9,https://www.burgerking.co.uk/menu
UK,Burger King,Americano,1 item,,,56,2.7,9.9,2.5,8.5,0.0,https://www.burgerking.co.uk/menu
UK,Burger King,Espresso,1 item,,,56,2.7,9.9,2.5,8.5,0.0,https://www.burgerking.co.uk/menu
UK,Burger King,Hot Chocolate,1 item,,,144,5.7,25.6,2.1,0,25.2,https://www.burgerking.co.uk/menu
UK,Burger King,Mocha,1 item,,,159,7.1,27.6,4.1,8.7,17.5,https://www.burgerking.co.uk/menu
UK,Burger King,Bacon Butty,1 item,117,,280,14.9,37.3,7.5,2.1,9.9,https://www.burgerking.co.uk/menu
UK,Burger King,Coca-Cola -,Kid,,,120,0,30.0,0,0,30.0,https://www.burgerking.co.uk/menu
